iter	Passed	Remaining
0	0	67
1	1	65
2	1	64
3	2	60
4	3	59
5	3	62
6	4	61
7	5	61
8	6	61
9	6	60
10	7	60
11	8	59
12	8	58
13	9	58
14	10	57
15	10	57
16	11	57
17	12	57
18	13	57
19	13	55
20	14	54
21	15	55
22	16	54
23	17	54
24	18	54
25	18	53
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	47
36	27	46
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
